ROWID,Country,SourceYear,Harmonized System (HS) Code,Commodities,Import value of each commodity,Percentage share of each commodity ( % ),YearCode,Year
44,India,2015-16,2,MEAT AND EDIBLE MEAT OFFAL,1276.41,0.0005,2015,"Financial Year (Apr - Mar), 2015"
45,India,2020-21,2,MEAT AND EDIBLE MEAT OFFAL,1317.77,0.0005,2020,"Financial Year (Apr - Mar), 2020"
46,India,2014-15,2,MEAT AND EDIBLE MEAT OFFAL,1966.23,0.0007,2014,"Financial Year (Apr - Mar), 2014"
47,India,2021-22,2,MEAT AND EDIBLE MEAT OFFAL,3072.37,0.0007,2021,"Financial Year (Apr - Mar), 2021"
48,India,2016-17,2,MEAT AND EDIBLE MEAT OFFAL,2098.81,0.0008,2016,"Financial Year (Apr - Mar), 2016"
49,India,2018-19,2,MEAT AND EDIBLE MEAT OFFAL,3178.51,0.0009,2018,"Financial Year (Apr - Mar), 2018"
50,India,2017-18,2,MEAT AND EDIBLE MEAT OFFAL,2998.75,0.001,2017,"Financial Year (Apr - Mar), 2017"
51,India,2019-20,2,MEAT AND EDIBLE MEAT OFFAL,3887.12,0.0012,2019,"Financial Year (Apr - Mar), 2019"
52,India,1997-98,2,MEAT AND EDIBLE MEAT OFFAL,,,1997,"Financial Year (Apr - Mar), 1997"
53,India,2013-14,3,"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTABRATES",27057.29,0.01,2013,"Financial Year (Apr - Mar), 2013"
54,India,1996-97,3,"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTABRATES",1689.39,0.0122,1996,"Financial Year (Apr - Mar), 1996"
55,India,2004-05,3,"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTABRATES",6406.38,0.0128,2004,"Financial Year (Apr - Mar), 2004"
56,India,2006-07,3,"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTABRATES",10905.61,0.013,2006,"Financial Year (Apr - Mar), 2006"
57,India,2000-01,3,"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTABRATES",3074.52,0.0133,2000,"Financial Year (Apr - Mar), 2000"
58,India,2002-03,3,"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTABRATES",3943.22,0.0133,2002,"Financial Year (Apr - Mar), 2002"
59,India,2007-08,3,"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTABRATES",13676.32,0.0135,2007,"Financial Year (Apr - Mar), 2007"
60,India,2012-13,3,"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTABRATES",36768.91,0.0138,2012,"Financial Year (Apr - Mar), 2012"
61,India,2014-15,3,"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTABRATES",37929.13,0.0139,2014,"Financial Year (Apr - Mar), 2014"
62,India,2003-04,3,"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTABRATES",5171.93,0.0144,2003,"Financial Year (Apr - Mar), 2003"
63,India,2009-10,3,"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTABRATES",20030.81,0.0147,2009,"Financial Year (Apr - Mar), 2009"
64,India,2005-06,3,"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTABRATES",9906.54,0.015,2005,"Financial Year (Apr - Mar), 2005"
65,India,2016-17,3,"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTABRATES",39523.64,0.0153,2016,"Financial Year (Apr - Mar), 2016"
66,India,2001-02,3,"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTABRATES",3849.57,0.0157,2001,"Financial Year (Apr - Mar), 2001"
67,India,1999-00,3,"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTABRATES",3397.52,0.0158,1999,"Financial Year (Apr - Mar), 1999"
68,India,2008-09,3,"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTABRATES",23099.72,0.0168,2008,"Financial Year (Apr - Mar), 2008"
69,India,2015-16,3,"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTABRATES",44151.88,0.0177,2015,"Financial Year (Apr - Mar), 2015"
70,India,2017-18,3,"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTABRATES",58340.66,0.0194,2017,"Financial Year (Apr - Mar), 2017"
71,India,2018-19,3,"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTABRATES",74512.5,0.0207,2018,"Financial Year (Apr - Mar), 2018"
72,India,2011-12,3,"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTABRATES",49093.75,0.0209,2011,"Financial Year (Apr - Mar), 2011"
73,India,2010-11,3,"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTABRATES",36273.22,0.0215,2010,"Financial Year (Apr - Mar), 2010"
74,India,2019-20,3,"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTABRATES",91631.15,0.0273,2019,"Financial Year (Apr - Mar), 2019"
75,India,2021-22,3,"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTABRATES",125672.82,0.0275,2021,"Financial Year (Apr - Mar), 2021"
76,India,1997-98,3,"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTABRATES",4266.06,0.0277,1997,"Financial Year (Apr - Mar), 1997"
77,India,1998-99,3,"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTABRATES",6221.01,0.0349,1998,"Financial Year (Apr - Mar), 1998"
78,India,2020-21,3,"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTABRATES",112005.68,0.0384,2020,"Financial Year (Apr - Mar), 2020"
79,India,1996-97,4,"DAIRY PRODUCE; BIRDS' EGGS; NATURAL HONEY; EDIBLE PROD. OF ANIMAL ORIGIN, NOT ELSEWHERE SPEC. OR INCLUDED",561.45,0.004,1996,"Financial Year (Apr - Mar), 1996"
80,India,2021-22,4,"DAIRY PRODUCE; BIRDS' EGGS; NATURAL HONEY; EDIBLE PROD. OF ANIMAL ORIGIN, NOT ELSEWHERE SPEC. OR INCLUDED",22467.68,0.0049,2021,"Financial Year (Apr - Mar), 2021"
81,India,2005-06,4,"DAIRY PRODUCE; BIRDS' EGGS; NATURAL HONEY; EDIBLE PROD. OF ANIMAL ORIGIN, NOT ELSEWHERE SPEC. OR INCLUDED",4108.05,0.0062,2005,"Financial Year (Apr - Mar), 2005"
82,India,2018-19,4,"DAIRY PRODUCE; BIRDS' EGGS; NATURAL HONEY; EDIBLE PROD. OF ANIMAL ORIGIN, NOT ELSEWHERE SPEC. OR INCLUDED",22868.66,0.0064,2018,"Financial Year (Apr - Mar), 2018"
83,India,2012-13,4,"DAIRY PRODUCE; BIRDS' EGGS; NATURAL HONEY; EDIBLE PROD. OF ANIMAL ORIGIN, NOT ELSEWHERE SPEC. OR INCLUDED",18249.72,0.0068,2012,"Financial Year (Apr - Mar), 2012"
84,India,2007-08,4,"DAIRY PRODUCE; BIRDS' EGGS; NATURAL HONEY; EDIBLE PROD. OF ANIMAL ORIGIN, NOT ELSEWHERE SPEC. OR INCLUDED",7100.17,0.007,2007,"Financial Year (Apr - Mar), 2007"
85,India,2019-20,4,"DAIRY PRODUCE; BIRDS' EGGS; NATURAL HONEY; EDIBLE PROD. OF ANIMAL ORIGIN, NOT ELSEWHERE SPEC. OR INCLUDED",26663.03,0.0079,2019,"Financial Year (Apr - Mar), 2019"
86,India,2013-14,4,"DAIRY PRODUCE; BIRDS' EGGS; NATURAL HONEY; EDIBLE PROD. OF ANIMAL ORIGIN, NOT ELSEWHERE SPEC. OR INCLUDED",22592.17,0.0083,2013,"Financial Year (Apr - Mar), 2013"
87,India,2020-21,4,"DAIRY PRODUCE; BIRDS' EGGS; NATURAL HONEY; EDIBLE PROD. OF ANIMAL ORIGIN, NOT ELSEWHERE SPEC. OR INCLUDED",24874.19,0.0085,2020,"Financial Year (Apr - Mar), 2020"
88,India,2008-09,4,"DAIRY PRODUCE; BIRDS' EGGS; NATURAL HONEY; EDIBLE PROD. OF ANIMAL ORIGIN, NOT ELSEWHERE SPEC. OR INCLUDED",11892,0.0087,2008,"Financial Year (Apr - Mar), 2008"
89,India,2016-17,4,"DAIRY PRODUCE; BIRDS' EGGS; NATURAL HONEY; EDIBLE PROD. OF ANIMAL ORIGIN, NOT ELSEWHERE SPEC. OR INCLUDED",24382.62,0.0095,2016,"Financial Year (Apr - Mar), 2016"
90,India,2017-18,4,"DAIRY PRODUCE; BIRDS' EGGS; NATURAL HONEY; EDIBLE PROD. OF ANIMAL ORIGIN, NOT ELSEWHERE SPEC. OR INCLUDED",30287.92,0.0101,2017,"Financial Year (Apr - Mar), 2017"
91,India,2014-15,4,"DAIRY PRODUCE; BIRDS' EGGS; NATURAL HONEY; EDIBLE PROD. OF ANIMAL ORIGIN, NOT ELSEWHERE SPEC. OR INCLUDED",30519.37,0.0112,2014,"Financial Year (Apr - Mar), 2014"
92,India,2004-05,4,"DAIRY PRODUCE; BIRDS' EGGS; NATURAL HONEY; EDIBLE PROD. OF ANIMAL ORIGIN, NOT ELSEWHERE SPEC. OR INCLUDED",6655.47,0.0133,2004,"Financial Year (Apr - Mar), 2004"
93,India,2006-07,4,"DAIRY PRODUCE; BIRDS' EGGS; NATURAL HONEY; EDIBLE PROD. OF ANIMAL ORIGIN, NOT ELSEWHERE SPEC. OR INCLUDED",11531.49,0.0137,2006,"Financial Year (Apr - Mar), 2006"
94,India,2015-16,4,"DAIRY PRODUCE; BIRDS' EGGS; NATURAL HONEY; EDIBLE PROD. OF ANIMAL ORIGIN, NOT ELSEWHERE SPEC. OR INCLUDED",34045.17,0.0137,2015,"Financial Year (Apr - Mar), 2015"
95,India,2001-02,4,"DAIRY PRODUCE; BIRDS' EGGS; NATURAL HONEY; EDIBLE PROD. OF ANIMAL ORIGIN, NOT ELSEWHERE SPEC. OR INCLUDED",3930.78,0.016,2001,"Financial Year (Apr - Mar), 2001"
96,India,1997-98,4,"DAIRY PRODUCE; BIRDS' EGGS; NATURAL HONEY; EDIBLE PROD. OF ANIMAL ORIGIN, NOT ELSEWHERE SPEC. OR INCLUDED",3003.25,0.0195,1997,"Financial Year (Apr - Mar), 1997"
97,India,2000-01,4,"DAIRY PRODUCE; BIRDS' EGGS; NATURAL HONEY; EDIBLE PROD. OF ANIMAL ORIGIN, NOT ELSEWHERE SPEC. OR INCLUDED",5357.54,0.0232,2000,"Financial Year (Apr - Mar), 2000"
98,India,1998-99,4,"DAIRY PRODUCE; BIRDS' EGGS; NATURAL HONEY; EDIBLE PROD. OF ANIMAL ORIGIN, NOT ELSEWHERE SPEC. OR INCLUDED",4247.51,0.0238,1998,"Financial Year (Apr - Mar), 1998"
99,India,2009-10,4,"DAIRY PRODUCE; BIRDS' EGGS; NATURAL HONEY; EDIBLE PROD. OF ANIMAL ORIGIN, NOT ELSEWHERE SPEC. OR INCLUDED",33235.35,0.0244,2009,"Financial Year (Apr - Mar), 2009"
100,India,2002-03,4,"DAIRY PRODUCE; BIRDS' EGGS; NATURAL HONEY; EDIBLE PROD. OF ANIMAL ORIGIN, NOT ELSEWHERE SPEC. OR INCLUDED",8469.22,0.0285,2002,"Financial Year (Apr - Mar), 2002"
101,India,2003-04,4,"DAIRY PRODUCE; BIRDS' EGGS; NATURAL HONEY; EDIBLE PROD. OF ANIMAL ORIGIN, NOT ELSEWHERE SPEC. OR INCLUDED",13307.41,0.0371,2003,"Financial Year (Apr - Mar), 2003"
102,India,2010-11,4,"DAIRY PRODUCE; BIRDS' EGGS; NATURAL HONEY; EDIBLE PROD. OF ANIMAL ORIGIN, NOT ELSEWHERE SPEC. OR INCLUDED",84599.13,0.0503,2010,"Financial Year (Apr - Mar), 2010"
103,India,2011-12,4,"DAIRY PRODUCE; BIRDS' EGGS; NATURAL HONEY; EDIBLE PROD. OF ANIMAL ORIGIN, NOT ELSEWHERE SPEC. OR INCLUDED",121918.71,0.052,2011,"Financial Year (Apr - Mar), 2011"
104,India,1999-00,4,"DAIRY PRODUCE; BIRDS' EGGS; NATURAL HONEY; EDIBLE PROD. OF ANIMAL ORIGIN, NOT ELSEWHERE SPEC. OR INCLUDED",18113.02,0.084,1999,"Financial Year (Apr - Mar), 1999"
105,India,2008-09,5,"PRODUCTS OF ANIMAL ORIGIN, NOT ELSEWHERE SPECIFIED OR INCLUDED",6808.82,0.005,2008,"Financial Year (Apr - Mar), 2008"
106,India,2007-08,5,"PRODUCTS OF ANIMAL ORIGIN, NOT ELSEWHERE SPECIFIED OR INCLUDED",6965.44,0.0069,2007,"Financial Year (Apr - Mar), 2007"
107,India,2009-10,5,"PRODUCTS OF ANIMAL ORIGIN, NOT ELSEWHERE SPECIFIED OR INCLUDED",9742.87,0.0071,2009,"Financial Year (Apr - Mar), 2009"
108,India,2012-13,5,"PRODUCTS OF ANIMAL ORIGIN, NOT ELSEWHERE SPECIFIED OR INCLUDED",19091.31,0.0072,2012,"Financial Year (Apr - Mar), 2012"
109,India,2021-22,5,"PRODUCTS OF ANIMAL ORIGIN, NOT ELSEWHERE SPECIFIED OR INCLUDED",32912.31,0.0072,2021,"Financial Year (Apr - Mar), 2021"
110,India,2020-21,5,"PRODUCTS OF ANIMAL ORIGIN, NOT ELSEWHERE SPECIFIED OR INCLUDED",21975.6,0.0075,2020,"Financial Year (Apr - Mar), 2020"
111,India,2019-20,5,"PRODUCTS OF ANIMAL ORIGIN, NOT ELSEWHERE SPECIFIED OR INCLUDED",25303.98,0.0075,2019,"Financial Year (Apr - Mar), 2019"
112,India,2005-06,5,"PRODUCTS OF ANIMAL ORIGIN, NOT ELSEWHERE SPECIFIED OR INCLUDED",5374.53,0.0081,2005,"Financial Year (Apr - Mar), 2005"
113,India,2013-14,5,"PRODUCTS OF ANIMAL ORIGIN, NOT ELSEWHERE SPECIFIED OR INCLUDED",22128.93,0.0081,2013,"Financial Year (Apr - Mar), 2013"
114,India,2014-15,5,"PRODUCTS OF ANIMAL ORIGIN, NOT ELSEWHERE SPECIFIED OR INCLUDED",22694.25,0.0083,2014,"Financial Year (Apr - Mar), 2014"
115,India,2018-19,5,"PRODUCTS OF ANIMAL ORIGIN, NOT ELSEWHERE SPECIFIED OR INCLUDED",30961.03,0.0086,2018,"Financial Year (Apr - Mar), 2018"
116,India,2010-11,5,"PRODUCTS OF ANIMAL ORIGIN, NOT ELSEWHERE SPECIFIED OR INCLUDED",15233.82,0.009,2010,"Financial Year (Apr - Mar), 2010"
117,India,2006-07,5,"PRODUCTS OF ANIMAL ORIGIN, NOT ELSEWHERE SPECIFIED OR INCLUDED",8012.55,0.0095,2006,"Financial Year (Apr - Mar), 2006"
118,India,2004-05,5,"PRODUCTS OF ANIMAL ORIGIN, NOT ELSEWHERE SPECIFIED OR INCLUDED",4959.8,0.0099,2004,"Financial Year (Apr - Mar), 2004"
119,India,2015-16,5,"PRODUCTS OF ANIMAL ORIGIN, NOT ELSEWHERE SPECIFIED OR INCLUDED",25112.73,0.0101,2015,"Financial Year (Apr - Mar), 2015"
120,India,2011-12,5,"PRODUCTS OF ANIMAL ORIGIN, NOT ELSEWHERE SPECIFIED OR INCLUDED",23976.26,0.0102,2011,"Financial Year (Apr - Mar), 2011"
121,India,2017-18,5,"PRODUCTS OF ANIMAL ORIGIN, NOT ELSEWHERE SPECIFIED OR INCLUDED",31236.94,0.0104,2017,"Financial Year (Apr - Mar), 2017"
122,India,2016-17,5,"PRODUCTS OF ANIMAL ORIGIN, NOT ELSEWHERE SPECIFIED OR INCLUDED",27006.92,0.0105,2016,"Financial Year (Apr - Mar), 2016"
123,India,2003-04,5,"PRODUCTS OF ANIMAL ORIGIN, NOT ELSEWHERE SPECIFIED OR INCLUDED",5015.3,0.014,2003,"Financial Year (Apr - Mar), 2003"
124,India,1996-97,5,"PRODUCTS OF ANIMAL ORIGIN, NOT ELSEWHERE SPECIFIED OR INCLUDED",2062.76,0.0148,1996,"Financial Year (Apr - Mar), 1996"
125,India,1997-98,5,"PRODUCTS OF ANIMAL ORIGIN, NOT ELSEWHERE SPECIFIED OR INCLUDED",2588.49,0.0168,1997,"Financial Year (Apr - Mar), 1997"
126,India,2001-02,5,"PRODUCTS OF ANIMAL ORIGIN, NOT ELSEWHERE SPECIFIED OR INCLUDED",5470.82,0.0223,2001,"Financial Year (Apr - Mar), 2001"
127,India,2002-03,5,"PRODUCTS OF ANIMAL ORIGIN, NOT ELSEWHERE SPECIFIED OR INCLUDED",6688.8,0.0225,2002,"Financial Year (Apr - Mar), 2002"
128,India,1998-99,5,"PRODUCTS OF ANIMAL ORIGIN, NOT ELSEWHERE SPECIFIED OR INCLUDED",4170.38,0.0234,1998,"Financial Year (Apr - Mar), 1998"
129,India,1999-00,5,"PRODUCTS OF ANIMAL ORIGIN, NOT ELSEWHERE SPECIFIED OR INCLUDED",5515.27,0.0256,1999,"Financial Year (Apr - Mar), 1999"
130,India,2000-01,5,"PRODUCTS OF ANIMAL ORIGIN, NOT ELSEWHERE SPECIFIED OR INCLUDED",6031.84,0.0261,2000,"Financial Year (Apr - Mar), 2000"
131,India,2000-01,6,LIVE TREES AND OTHER PLANTS; BULBS; ROOTS AND THE LIKE; CUT FLOWERS AND ORNAMENTAL FOLIAGE,211.63,0.0009,2000,"Financial Year (Apr - Mar), 2000"
132,India,1999-00,6,LIVE TREES AND OTHER PLANTS; BULBS; ROOTS AND THE LIKE; CUT FLOWERS AND ORNAMENTAL FOLIAGE,327.08,0.0015,1999,"Financial Year (Apr - Mar), 1999"
133,India,2001-02,6,LIVE TREES AND OTHER PLANTS; BULBS; ROOTS AND THE LIKE; CUT FLOWERS AND ORNAMENTAL FOLIAGE,570.64,0.0023,2001,"Financial Year (Apr - Mar), 2001"
134,India,2004-05,6,LIVE TREES AND OTHER PLANTS; BULBS; ROOTS AND THE LIKE; CUT FLOWERS AND ORNAMENTAL FOLIAGE,1137.8,0.0023,2004,"Financial Year (Apr - Mar), 2004"
135,India,2003-04,6,LIVE TREES AND OTHER PLANTS; BULBS; ROOTS AND THE LIKE; CUT FLOWERS AND ORNAMENTAL FOLIAGE,900.89,0.0025,2003,"Financial Year (Apr - Mar), 2003"
136,India,2005-06,6,LIVE TREES AND OTHER PLANTS; BULBS; ROOTS AND THE LIKE; CUT FLOWERS AND ORNAMENTAL FOLIAGE,1796.33,0.0027,2005,"Financial Year (Apr - Mar), 2005"
247,India,2018-19,10,CEREALS,51012.18,0.0142,2018,"Financial Year (Apr - Mar), 2018"
137,India,2010-11,6,LIVE TREES AND OTHER PLANTS; BULBS; ROOTS AND THE LIKE; CUT FLOWERS AND ORNAMENTAL FOLIAGE,4548.29,0.0027,2010,"Financial Year (Apr - Mar), 2010"
138,India,2011-12,6,LIVE TREES AND OTHER PLANTS; BULBS; ROOTS AND THE LIKE; CUT FLOWERS AND ORNAMENTAL FOLIAGE,6863.54,0.0029,2011,"Financial Year (Apr - Mar), 2011"
139,India,2012-13,6,LIVE TREES AND OTHER PLANTS; BULBS; ROOTS AND THE LIKE; CUT FLOWERS AND ORNAMENTAL FOLIAGE,8566.93,0.0032,2012,"Financial Year (Apr - Mar), 2012"
140,India,2009-10,6,LIVE TREES AND OTHER PLANTS; BULBS; ROOTS AND THE LIKE; CUT FLOWERS AND ORNAMENTAL FOLIAGE,4587.59,0.0034,2009,"Financial Year (Apr - Mar), 2009"
141,India,2006-07,6,LIVE TREES AND OTHER PLANTS; BULBS; ROOTS AND THE LIKE; CUT FLOWERS AND ORNAMENTAL FOLIAGE,2940.61,0.0035,2006,"Financial Year (Apr - Mar), 2006"
142,India,2002-03,6,LIVE TREES AND OTHER PLANTS; BULBS; ROOTS AND THE LIKE; CUT FLOWERS AND ORNAMENTAL FOLIAGE,1127.58,0.0038,2002,"Financial Year (Apr - Mar), 2002"
143,India,2007-08,6,LIVE TREES AND OTHER PLANTS; BULBS; ROOTS AND THE LIKE; CUT FLOWERS AND ORNAMENTAL FOLIAGE,3932.76,0.0039,2007,"Financial Year (Apr - Mar), 2007"
144,India,2008-09,6,LIVE TREES AND OTHER PLANTS; BULBS; ROOTS AND THE LIKE; CUT FLOWERS AND ORNAMENTAL FOLIAGE,5425.19,0.0039,2008,"Financial Year (Apr - Mar), 2008"
145,India,1998-99,6,LIVE TREES AND OTHER PLANTS; BULBS; ROOTS AND THE LIKE; CUT FLOWERS AND ORNAMENTAL FOLIAGE,720.45,0.004,1998,"Financial Year (Apr - Mar), 1998"
146,India,2013-14,6,LIVE TREES AND OTHER PLANTS; BULBS; ROOTS AND THE LIKE; CUT FLOWERS AND ORNAMENTAL FOLIAGE,11219.43,0.0041,2013,"Financial Year (Apr - Mar), 2013"
147,India,2014-15,6,LIVE TREES AND OTHER PLANTS; BULBS; ROOTS AND THE LIKE; CUT FLOWERS AND ORNAMENTAL FOLIAGE,11337.09,0.0041,2014,"Financial Year (Apr - Mar), 2014"
197,India,2002-03,8,EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS,188396.45,0.6339,2002,"Financial Year (Apr - Mar), 2002"
148,India,2017-18,6,LIVE TREES AND OTHER PLANTS; BULBS; ROOTS AND THE LIKE; CUT FLOWERS AND ORNAMENTAL FOLIAGE,13646.06,0.0045,2017,"Financial Year (Apr - Mar), 2017"
149,India,2015-16,6,LIVE TREES AND OTHER PLANTS; BULBS; ROOTS AND THE LIKE; CUT FLOWERS AND ORNAMENTAL FOLIAGE,11440.01,0.0046,2015,"Financial Year (Apr - Mar), 2015"
150,India,2018-19,6,LIVE TREES AND OTHER PLANTS; BULBS; ROOTS AND THE LIKE; CUT FLOWERS AND ORNAMENTAL FOLIAGE,17409.48,0.0048,2018,"Financial Year (Apr - Mar), 2018"
151,India,2016-17,6,LIVE TREES AND OTHER PLANTS; BULBS; ROOTS AND THE LIKE; CUT FLOWERS AND ORNAMENTAL FOLIAGE,13381,0.0052,2016,"Financial Year (Apr - Mar), 2016"
152,India,2020-21,6,LIVE TREES AND OTHER PLANTS; BULBS; ROOTS AND THE LIKE; CUT FLOWERS AND ORNAMENTAL FOLIAGE,16037.52,0.0055,2020,"Financial Year (Apr - Mar), 2020"
153,India,2021-22,6,LIVE TREES AND OTHER PLANTS; BULBS; ROOTS AND THE LIKE; CUT FLOWERS AND ORNAMENTAL FOLIAGE,25853.11,0.0057,2021,"Financial Year (Apr - Mar), 2021"
